textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²)
2e7082d1c8,MAYDAY?!,MAYDAY?!,neutral,morning,0-20,Cuba,11326616,106440.0,106
ef12a3d183, i talk to you,i talk to you,neutral,morning,46-60,Afghanistan,38928346,652860.0,60
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,y adore,positive,morning,46-60,Norway,5421241,365000.0,15
328a0e76bd,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,brutal,negative,noon,21-30,South Sudan,11193725,610952.0,18
4213627c3c,I still smell of smoke  #kitchenfire,I still smell of smoke  #kitchenfire,neutral,noon,60-70,Guinea-Bissau,1968001,28120.0,70
7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",Goooooooooooood Morrrrrrrrning,positive,night,70-100,Vietnam,97338579,310070.0,314
bbe3cbf620,test test from the LG enV2,test test from the LG enV2,neutral,night,31-45,Barbados,287375,430.0,668
f29df52d91, I want to know when the auditions are Mander! Text or...reply please!,I want to know when the auditions are Mander! Text or...reply please!,neutral,morning,0-20,Timor-Leste,1318445,14870.0,89
2207d982bc,4am. And Im on the beach. Pretty,Pretty,positive,noon,60-70,Luxembourg,625978,2590.0,242
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,negative,night,31-45,Comoros,869601,1861.0,467
e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,great,positive,morning,0-20,Sweden,10099265,410340.0,25
a0a306868a,lost my tooth 2day whilst i was eating gum...oww,oww,negative,morning,46-60,Vanuatu,307145,12200.0,25
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,e nice,positive,night,31-45,Panama,4314767,74340.0,58
99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,night,70-100,Monaco,39242,1.0,26337
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",Not looking forward,negative,night,31-45,Netherlands,17134872,33720.0,508
5b578d0b4c,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",better,positive,noon,60-70,Montenegro,628066,13450.0,47
7e4ed52c4a,Hate fighting,Hate fighting,negative,morning,0-20,Rwanda,12952218,24670.0,525
6649f3558c, Not a prob hun,Not a prob,positive,night,70-100,Niger,24206644,1266700.0,19
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,I don`t feel confident,negative,noon,21-30,Montenegro,628066,13450.0,47
0b5c2a7d7c,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol","downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,morning,46-60,Brunei,437479,5270.0,83
4ea61dbc7a, what`s the matter chickadee?,what`s the matter chickadee?,neutral,night,31-45,North Macedonia,2083374,25220.0,83
